(41.8755616, -87.6244212)
(22.27835865, 114.18210639160678)
(51.4796154, -0.1429709)
(41.884361, -87.623481)
(41.9127223, -87.638378)
(41.8756056, -87.6386581677819)
(41.88865295, -87.62758934999093)
(34.0536909, -118.242766)
(41.8791456, -87.6322586)
(41.8758026, -87.6360279)
(22.2793278, 114.1628131)
(51.5097922, -0.13442883634595293)
(41.8867498, -87.6354148)
(51.5478149, -0.5315999)
(22.28365, 114.15494)
(22.3247342, 114.11974660807071)
(52.1363806, -0.4675041)
(51.5168987, -0.14330516808711596)
(51.392296, -0.5038294)
(41.902091549999994, -87.6421333679348)
(22.28541755, 114.15896914851574)
(41.89179985, -87.60414466382959)
(51.5073219, -0.1276474)
(22.28461275, 114.15472799485426)
(22.2952151, 114.1718063688131)
(51.5301322, -0.1053876)
(51.68980175, -0.4226993868476693)
(51.385277, -0.5950836)
