(37.9137205, 15.3354491)
(37.7917951, 15.223231365255714)
(40.8787321, -73.8655897)
(37.9558591, 15.3393223)
(34.089095900000004, -118.41381094925522)
(40.8134798, -73.9371036)
(40.7191187, -73.996449)
(37.961778, -122.558607)
(40.5834557, -74.1496048)
(40.7192728, -73.9982152)
(40.60146327777778, -73.96745344444444)
(40.75573085, -73.95188400365261)
(36.1672559, -115.148516)
(34.0536909, -118.242766)
(40.75573085, -73.95188400365261)
(40.7453798, -73.9054145)
(37.587794, 14.155048)
(40.6931078, -74.05721723909639)
(40.7215682, -74.047455)
(40.7896239, -73.9598939)
(40.7135078, -73.8283132)
(40.9046309, -73.9136821)
(18.4801972, -69.942111)
(40.59547785, -73.6565681168247)
(40.85149705, -73.0994258107431)
(40.7127281, -74.0060152)
(40.71427525, -74.00201056092054)
(34.0980031, -118.329523)
(40.73926685, -73.9753335599207)
